date,temperature_c,humidity_pct,rainfall_mm,location
2025-11-28,25.2,26,0,"Nashik,IN"
2025-11-29,25.2,26,0,"Nashik,IN"
2025-11-30,25.2,26,0,"Nashik,IN"
2025-12-01,25.2,26,0,"Nashik,IN"
2025-12-02,25.2,26,0,"Nashik,IN"
2025-12-03,25.2,26,0,"Nashik,IN"
2025-12-04,25.2,26,0,"Nashik,IN"
2025-12-05,25.2,26,0,"Nashik,IN"
2025-12-06,25.2,26,0,"Nashik,IN"
2025-12-07,25.2,26,0,"Nashik,IN"
2025-12-08,25.2,26,0,"Nashik,IN"
2025-12-09,25.2,26,0,"Nashik,IN"
2025-12-10,25.2,26,0,"Nashik,IN"
2025-12-11,25.2,26,0,"Nashik,IN"
2025-12-12,25.2,26,0,"Nashik,IN"
2025-12-13,25.2,26,0,"Nashik,IN"
2025-12-14,25.2,26,0,"Nashik,IN"
2025-12-15,25.2,26,0,"Nashik,IN"
2025-12-16,25.2,26,0,"Nashik,IN"
2025-12-17,25.2,26,0,"Nashik,IN"
2025-12-18,25.2,26,0,"Nashik,IN"
2025-12-19,25.2,26,0,"Nashik,IN"
2025-12-20,25.2,26,0,"Nashik,IN"
2025-12-21,25.2,26,0,"Nashik,IN"
2025-12-22,25.2,26,0,"Nashik,IN"
2025-12-23,25.2,26,0,"Nashik,IN"
2025-12-24,25.2,26,0,"Nashik,IN"
2025-12-25,25.2,26,0,"Nashik,IN"
2025-12-26,25.2,26,0,"Nashik,IN"
2025-12-27,25.2,26,0,"Nashik,IN"
2025-12-28,25.2,26,0,"Nashik,IN"
