date,price,commodity,location,return,log_return
2025-11-28,2049.6714153011235,ONION,NASHIK,,
2025-11-29,2006.2829077807153,ONION,NASHIK,-0.021168518620353516,-0.02139578469050465
2025-11-30,2104.9865094679517,ONION,NASHIK,0.04919724995136354,0.04802534791618532
2025-12-01,2212.626919085453,ONION,NASHIK,0.05113591423667052,0.0498714025030763
2025-12-02,2057.0118145547967,ONION,NASHIK,-0.07033047604563036,-0.07292610657351566
2025-12-03,2077.1125973859043,ONION,NASHIK,0.009771836354502517,0.00972440073337808
2025-12-04,2278.541621040226,ONION,NASHIK,0.09697549565094588,0.09255684344191507
2025-12-05,2217.451748561828,ONION,NASHIK,-0.026810953073794774,-0.027176922835852133
2025-12-06,2113.8416491624916,ONION,NASHIK,-0.046724849578591576,-0.047851696725312004
2025-12-07,2235.1177684914524,ONION,NASHIK,0.057372376675902226,0.05578694066097807
2025-12-08,2154.5835262217156,ONION,NASHIK,-0.03603131942532567,-0.03669647392979224
2025-12-09,2174.4056999449567,ONION,NASHIK,0.009200002451518419,0.00915794021393568
2025-12-10,2265.2171271303273,ONION,NASHIK,0.04176379191227708,0.04091523040944053
2025-12-11,2069.7229448017197,ONION,NASHIK,-0.086302624144586,-0.09025586097970102
2025-12-12,2108.57610328322,ONION,NASHIK,0.01877215430165835,0.018598131890257608
2025-12-13,2244.8419060991405,ONION,NASHIK,0.06462455995955918,0.06262221114997157
2025-12-14,2219.775186140045,ONION,NASHIK,-0.011166363159467951,-0.011229175016960436
2025-12-15,2372.454553168983,ONION,NASHIK,0.06878145497897514,0.06651917239500807
2025-12-16,2270.1818373791366,ONION,NASHIK,-0.043108398284484095,-0.044065162789393805
2025-12-17,2239.6902288716105,ONION,NASHIK,-0.013431350742691084,-0.01352236723582457
2025-12-18,2547.402790144312,ONION,NASHIK,0.1373906789903403,0.12873676084233576
2025-12-19,2398.1575943866205,ONION,NASHIK,-0.05858719961174119,-0.060373552924342024
2025-12-20,2447.3643957135937,ONION,NASHIK,0.02051858536826434,0.020310915123742668
2025-12-21,2317.9911959607093,ONION,NASHIK,-0.05286225458680105,-0.05431074187174514
2025-12-22,2425.8593253886766,ONION,NASHIK,0.04653517649934846,0.0454848758118577
2025-12-23,2511.1976461601166,ONION,NASHIK,0.03517859419064506,0.03457396660503996
2025-12-24,2404.789094101189,ONION,NASHIK,-0.04237362687147994,-0.04329758425658858
2025-12-25,2577.2156701826493,ONION,NASHIK,0.07170132986065703,0.06924741362496578
2025-12-26,2499.3128518553563,ONION,NASHIK,-0.030227512283351965,-0.030693783741291124
2025-12-27,2549.9107263771634,ONION,NASHIK,0.02024471425585883,0.020042514458070104
2025-12-28,2538.584448809056,ONION,NASHIK,-0.0044418329829920555,-0.004451727233058208
